ID,Name,Definition,Needs WikiSense API?,Needs Bing API?,Needs Wiki API?,Needs other external resource?,Comments,Is done?
1,webTotal,,0,1,,,,1
2,isNE,,0,,,1,Freebase,
3,rank,,0,1,,,,
4,EDTitle,,0,,1,,,1
5,EDTitNP,,0,,1,,,1
6,minEDBolds,,0,1,,,,1
7,captBolds,,0,1,,,,1
8,boldTerms,,0,1,,,,1
9,freq,,0,1,,,,
10,avgRank,,0,1,,,,
11,pageRank,,1,,,,,
12,rho_min,,0,,,,,
13,rho_max,,0,,,,,
14,rho_avg,,0,,,,,
15,lp_min,,1,,,,,
16,lp_max,,1,,,,,
17,comm_min,,1,,,,,
18,comm_max,,1,,,,,
19,comm_avg,,1,,,,,
20,ambig_min,,1,,,,,
21,ambig_max,,1,,,,,
22,ambig_avg,,1,,,,,
23,mentMED_min,,0,,,,,
24,mentMED_max,,0,,,,,
25,anchorsAvgED,,0?,?,,,,
26,minEdTitle,,0,,1,,,
27,EdTitle,,0,,1,,,
28,commonness,,1,,,,,
29,lp,,1,,,,,
